Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""163557563X""","=""9781635575637""",0,4.21,Bloomsbury,Hardcover,245,2020,2020,2026/04/05,2026/04/04,,,read,,,,1,0
18635622,"A Knight of the Seven Kingdoms (The Tales of Dunk and Egg, #1-3)",George R.R. Martin,"Martin, George R.R.",Gary Gianni,"=""0345533488""","=""9780345533487""",0,4.27,Bantam Books,Hardcover,355,2015,2015,,2026/04/05,to-read,to-read (#827),to-read,,,,0,0
88442,Austerlitz,W.G. Sebald,"Sebald, W.G.",Anthea Bell,"=""0140297995""","=""9780140297997""",0,3.98,Penguin Books,Paperback,415,2002,2001,,2026/04/04,to-read,to-read (#826),to-read,,,,0,0
53137974,The Good Sister,Sally Hepworth,"Hepworth, Sally",,"=""1250120950""","=""9781250120953""",0,4.14,St. Martin's Press,Hardcover,309,2021,2020,,2026/04/03,to-read,to-read (#825),to-read,,,,0,0
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Haddon, Mark",,"=""1400032717""","=""9781400032716""",0,3.89,Vintage,Paperback,226,2004,2003,2026/04/03,2026/02/15,,,read,,,,1,0
139400713,Martyr!,Kaveh Akbar,"Akbar, Kaveh",,"=""0593537610""","=""9780593537619""",0,4.15,Knopf,Hardcover,331,2024,2024,2026/04/01,2025/12/07,,,read,,,,1,0
243528378,Wojny Lucasa. Epizod II,Laurent Hopman,"Hopman, Laurent","Renaud Roche, Marta Duda-Gryc","=""8368346428""","=""9788368346428""",0,4.59,Lost in Time,Paperback,208,2025,2025,2026/03/29,2026/03/29,,,read,,,,1,0
25639214,Providence #1,Alan             Moore,"Moore, Alan","Jacen Burrows, Juan Rodríguez","=""""","=""""",0,3.99,Avatar,Paperback,32,2015,2015,,2026/03/29,to-read,to-read (#824),to-read,,,,0,0
106033,"Criminal, Vol. 1: Coward",Ed Brubaker,"Brubaker, Ed","Sean Phillips, Tom Fontana","=""078512439X""","=""9780785124399""",0,4.17,Marvel Enterprises,Paperback,136,2007,2007,,2026/03/29,to-read,to-read (#823),to-read,,,,0,0
1246007,"Stray Bullets, Vol. 1: Innocence of Nihilism",David Lapham,"Lapham, David",,"=""0972714561""","=""9780972714563""",0,4.13,El Capitan,Paperback,232,2005,,,2026/03/29,to-read,to-read (#822),to-read,,,,0,0
1297291,"Scalped: Indian Country (Scalped, #1)",Jason Aaron,"Aaron, Jason","R.M. Guéra, Lee Loughridge, Phil Balsman, Brian K. Vaughan, Jock","=""1401213170""","=""9781401213176""",0,4.02,Vertigo,Paperback,124,2007,2007,,2026/03/29,to-read,to-read (#821),to-read,,,,0,0
17346698,"March: Book One (March, #1)",John             Lewis,"Lewis, John","Andrew Aydin, Nate Powell","=""1603093001""","=""9781603093002""",0,4.35,Top Shelf Productions,Paperback,128,2013,2013,,2026/03/29,to-read,to-read (#820),to-read,,,,0,0
25179,Blankets,Craig Thompson,"Thompson, Craig",,"=""1891830430""","=""9781891830433""",0,4.06,Top Shelf Productions,Paperback,582,2003,2003,,2026/03/29,to-read,to-read (#819),to-read,,,,0,0
32321,"Blame!, Vol. 1",Tsutomu Nihei,"Nihei, Tsutomu",,"=""1595328343""","=""9781595328342""",0,4.14,TokyoPop,Paperback,256,2005,1998,,2026/03/29,to-read,to-read (#818),to-read,,,,0,0
80834,Pyongyang: A Journey in North Korea,Guy Delisle,"Delisle, Guy",Helge Dascher,"=""1897299214""","=""9781897299210""",0,3.88,Drawn and Quarterly,Paperback,192,2007,2003,,2026/03/29,to-read,to-read (#817),to-read,,,,1,0
159315927,ED. VISUAL - OBRA COMPLETA ANTONI GAUDÍ (INGLÉS): Todas las obras de Antoni Gaudí mostradas en detalle parte por parte,Cerys Jones,"Jones, Cerys",,"=""8491032487""","=""9788491032489""",0,3.33,Dosde,Paperback,240,2023,,2026/03/22,2026/03/21,,,read,,,,1,0
212959736,Lucas' wars,Renaud Roche,"Roche, Renaud",Laurent Hopman,"=""9002281145""","=""9789002281143""",0,4.62,Standaard Uitgeverij,Hardcover,205,2023,2023,2026/03/21,2024/01/01,,,read,,,,1,0
238983402,Barcelona. Opowieści o mieście,Joan de Déu Prats,"Prats, Joan de Déu",,"=""8383672241""","=""9788383672243""",0,3.24,Znak,Paperback,288,2025,,2026/03/21,2026/03/14,,,read,,,,1,0
91203,Three Comrades,Erich Maria Remarque,"Remarque, Erich Maria",Arthur Wesley Wheen,"=""0449912426""","=""9780449912423""",0,4.48,Random House Trade Paperbacks,Paperback,496,1998,1936,2026/03/08,2015/05/25,,,read,,,,1,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""0374528373""","=""9780374528379""",0,4.39,"Farrar, Straus and Giroux",Paperback,796,2002,1880,2026/02/24,2015/06/06,,,read,,,,1,0
229080268,Stetson: American Icon,Douglas Brinkley,"Brinkley, Douglas","Jay Fielden, Glenn Kenny, Lyle Lovett, Mark McKinnon, Laird Borrelli-persson","=""0847875725""","=""9780847875726""",0,4.50,Rizzoli,Hardcover,320,2025,,,2026/02/22,to-read,to-read (#816),to-read,,,,0,0
1971304,City of Thieves,David Benioff,"Benioff, David",,"=""0670018708""","=""9780670018703""",0,4.30,Viking / Penguin,Hardcover,258,2008,2008,2026/02/21,2025/12/11,,,read,,,,1,0
256008,"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,"McMurtry, Larry",,"=""067168390X""","=""9780671683900""",0,4.58,Pocket Books,Mass Market Paperback,960,1999,1985,2026/02/14,2019/01/09,,,read,,,,1,0
